ID,Naziv,Ulica,Kraj,Postna_stevilka,Smer,Stopnja
166,Fakulteta za družbene vede,Kardeljeva plošèad 5,Ljubljana,1000,Politologija – analiza politik in javna uprava,MAG
167,Fakulteta za družbene vede,Kardeljeva plošèad 5,Ljubljana,1000,Politologija – politièna teorija,MAG
168,Fakulteta za družbene vede,Kardeljeva plošèad 5,Ljubljana,1000,Sociologija,MAG
169,Fakulteta za družbene vede,Kardeljeva plošèad 5,Ljubljana,1000,"Sociologija - upravljanje organizacij, èloveških virov in znanja",MAG
170,Fakulteta za družbene vede,Kardeljeva plošèad 5,Ljubljana,1000,Statistika,DR
171,Fakulteta za družbene vede,Kardeljeva plošèad 5,Ljubljana,1000,Strateško tržno komuniciranje,MAG
172,Fakulteta za družbene vede,Kardeljeva plošèad 5,Ljubljana,1000,Uporabna statistika,MAG
173,Fakulteta za družbene vede,Kardeljeva plošèad 5,Ljubljana,1000,Varstvo okolja,DR
174,"Fakulteta za državne in evropske študije, Kranj",Predoslje 39,Kranj,4000,Javna uprava,UNI
175,"Fakulteta za državne in evropske študije, Kranj",Predoslje 39,Kranj,4000,Upravno pravo,VSŠ
176,"Fakulteta za državne in evropske študije, Kranj",Predoslje 39,Kranj,4000,Javna uprava,MAG
177,"Fakulteta za državne in evropske študije, Kranj",Predoslje 39,Kranj,4000,Javna uprava,DR
178,"Fakulteta za državne in evropske študije, Kranj",Predoslje 39,Kranj,4000,Mednarodne in diplomatske študije,MAG
179,"Fakulteta za državne in evropske študije, Kranj",Predoslje 39,Kranj,4000,Mednarodne in diplomatske študije,DR
180,"Fakulteta za elektrotehniko, raèunalništvo in informatiko",Smetanova ulica 17,Maribor,2000,Elektrotehnika,VSŠ
181,"Fakulteta za elektrotehniko, raèunalništvo in informatiko",Smetanova ulica 17,Maribor,2000,Elektrotehnika,UNI
182,"Fakulteta za elektrotehniko, raèunalništvo in informatiko",Smetanova ulica 17,Maribor,2000,Informatika in tehnologije komuniciranja,VSŠ
183,"Fakulteta za elektrotehniko, raèunalništvo in informatiko",Smetanova ulica 17,Maribor,2000,Informatika in tehnologije komuniciranja,UNI
184,"Fakulteta za elektrotehniko, raèunalništvo in informatiko",Smetanova ulica 17,Maribor,2000,Medijske komunikacije,UNI
185,"Fakulteta za elektrotehniko, raèunalništvo in informatiko",Smetanova ulica 17,Maribor,2000,Mehatronika,VSŠ
186,"Fakulteta za elektrotehniko, raèunalništvo in informatiko",Smetanova ulica 17,Maribor,2000,Mehatronika,UNI
187,"Fakulteta za elektrotehniko, raèunalništvo in informatiko",Smetanova ulica 17,Maribor,2000,Raèunalništvo in informacijske tehnologije,VSŠ
188,"Fakulteta za elektrotehniko, raèunalništvo in informatiko",Smetanova ulica 17,Maribor,2000,Raèunalništvo in informacijske tehnologije,UNI
189,"Fakulteta za elektrotehniko, raèunalništvo in informatiko",Smetanova ulica 17,Maribor,2000,Telekomunikacije,UNI
190,"Fakulteta za elektrotehniko, raèunalništvo in informatiko",Smetanova ulica 17,Maribor,2000,Elektrotehnika,MAG
191,"Fakulteta za elektrotehniko, raèunalništvo in informatiko",Smetanova ulica 17,Maribor,2000,Elektrotehnika,DR
192,"Fakulteta za elektrotehniko, raèunalništvo in informatiko",Smetanova ulica 17,Maribor,2000,Informatika in tehnologije komuniciranja,MAG
193,"Fakulteta za elektrotehniko, raèunalništvo in informatiko",Smetanova ulica 17,Maribor,2000,Medijske komunikacije,MAG
194,"Fakulteta za elektrotehniko, raèunalništvo in informatiko",Smetanova ulica 17,Maribor,2000,Medijske komunikacije,DR
195,"Fakulteta za elektrotehniko, raèunalništvo in informatiko",Smetanova ulica 17,Maribor,2000,Mehatronika,MAG
196,"Fakulteta za elektrotehniko, raèunalništvo in informatiko",Smetanova ulica 17,Maribor,2000,Raèunalništvo in informacijske tehnologije,MAG
197,"Fakulteta za elektrotehniko, raèunalništvo in informatiko",Smetanova ulica 17,Maribor,2000,Raèunalništvo in informatika,DR
198,"Fakulteta za elektrotehniko, raèunalništvo in informatiko",Smetanova ulica 17,Maribor,2000,Telekomunikacije,MAG
199,Fakulteta za elektrotehniko,Tržaška cesta 25,Ljubljana,1000,Aplikativna elektrotehnika,VSŠ
200,Fakulteta za elektrotehniko,Tržaška cesta 25,Ljubljana,1000,Elektrotehnika,UNI
201,Fakulteta za elektrotehniko,Tržaška cesta 25,Ljubljana,1000,Multimedija,UNI
202,Fakulteta za elektrotehniko,Tržaška cesta 25,Ljubljana,1000,Bioznanosti,DR
203,Fakulteta za elektrotehniko,Tržaška cesta 25,Ljubljana,1000,Elektrotehnika,MAG
204,Fakulteta za elektrotehniko,Tržaška cesta 25,Ljubljana,1000,Elektrotehnika,DR
205,Fakulteta za elektrotehniko,Tržaška cesta 25,Ljubljana,1000,Multimedija,MAG
206,Fakulteta za elektrotehniko,Tržaška cesta 25,Ljubljana,1000,Uporabna statistika,MAG
207,Fakulteta za energetiko,Hoèevarjev trg 1,Krško,8270,Energetika,VSŠ
208,Fakulteta za energetiko,Hoèevarjev trg 1,Krško,8270,Energetika,UNI
209,Fakulteta za energetiko,Hoèevarjev trg 1,Krško,8270,Energetika,MAG
210,Fakulteta za energetiko,Hoèevarjev trg 1,Krško,8270,Energetika,DR
211,Fakulteta za farmacijo,Aškerèeva cesta 7,Ljubljana,1000,Kozmetologija,UNI
212,Fakulteta za farmacijo,Aškerèeva cesta 7,Ljubljana,1000,Laboratorijska biomedicina,UNI
213,Fakulteta za farmacijo,Aškerèeva cesta 7,Ljubljana,1000,Biomedicina,DR
214,Fakulteta za farmacijo,Aškerèeva cesta 7,Ljubljana,1000,Industrijska farmacija,MAG
215,Fakulteta za farmacijo,Aškerèeva cesta 7,Ljubljana,1000,Laboratorijska biomedicina,MAG
216,Fakulteta za gradbeništvo,Smetanova ulica 17,Maribor,2000,Arhitektura,UNI
217,Fakulteta za gradbeništvo,Smetanova ulica 17,Maribor,2000,Gospodarsko inženirstvo - smer gradbeništvo,UNI
218,Fakulteta za gradbeništvo,Smetanova ulica 17,Maribor,2000,Gradbeništvo,VSŠ
219,Fakulteta za gradbeništvo,Smetanova ulica 17,Maribor,2000,Gradbeništvo,UNI
220,Fakulteta za gradbeništvo,Smetanova ulica 17,Maribor,2000,Prometno inženirstvo,VSŠ
221,Fakulteta za gradbeništvo,Smetanova ulica 17,Maribor,2000,Prometno inženirstvo,UNI
222,Fakulteta za gradbeništvo,Smetanova ulica 17,Maribor,2000,Arhitektura,MAG
223,Fakulteta za gradbeništvo,Smetanova ulica 17,Maribor,2000,Arhitektura (v anglešèini),MAG
224,Fakulteta za gradbeništvo,Smetanova ulica 17,Maribor,2000,Gospodarsko inženirstvo – smer gradbeništvo,MAG
225,Fakulteta za gradbeništvo,Smetanova ulica 17,Maribor,2000,Gradbeništvo,MAG
226,Fakulteta za gradbeništvo,Smetanova ulica 17,Maribor,2000,Gradbeništvo,DR
227,Fakulteta za gradbeništvo,Smetanova ulica 17,Maribor,2000,Informacijske tehnologije v gradbeništvu,MAG
228,Fakulteta za gradbeništvo,Smetanova ulica 17,Maribor,2000,Prometno inženirstvo,MAG
229,Fakulteta za gradbeništvo,Smetanova ulica 17,Maribor,2000,Prometno inženirstvo,DR
230,Fakulteta za kemijo in kemijsko tehnologijo,Smetanova ulica 17,Maribor,2000,Kemija,UNI
231,Fakulteta za kemijo in kemijsko tehnologijo,Smetanova ulica 17,Maribor,2000,Kemijska tehnologija,VSŠ
232,Fakulteta za kemijo in kemijsko tehnologijo,Smetanova ulica 17,Maribor,2000,Kemijska tehnologija,UNI
233,Fakulteta za kemijo in kemijsko tehnologijo,Smetanova ulica 17,Maribor,2000,Kemija,MAG
234,Fakulteta za kemijo in kemijsko tehnologijo,Smetanova ulica 17,Maribor,2000,Kemija in kemijska tehnika,DR
235,Fakulteta za kemijo in kemijsko tehnologijo,Smetanova ulica 17,Maribor,2000,Kemijska tehnika,MAG
236,Fakulteta za kmetijstvo in biosistemske vede,Pivola 10,Hoèe,2311,Agrikultura in okolje,UNI
237,Fakulteta za kmetijstvo in biosistemske vede,Pivola 10,Hoèe,2311,"Agronomija - okrasne rastline, zelenjava in poljšèine",VSŠ
238,Fakulteta za kmetijstvo in biosistemske vede,Pivola 10,Hoèe,2311,Biosistemsko inženirstvo,VSŠ
239,Fakulteta za kmetijstvo in biosistemske vede,Pivola 10,Hoèe,2311,Ekološko kmetijstvo,VSŠ
240,Fakulteta za kmetijstvo in biosistemske vede,Pivola 10,Hoèe,2311,Management v agroživilstvu in razvoj podeželja,VSŠ
241,Fakulteta za kmetijstvo in biosistemske vede,Pivola 10,Hoèe,2311,"Vinogradništvo, vinarstvo in sadjarstvo",VSŠ
242,Fakulteta za kmetijstvo in biosistemske vede,Pivola 10,Hoèe,2311,Živinoreja,VSŠ
243,Fakulteta za kmetijstvo in biosistemske vede,Pivola 10,Hoèe,2311,Agrarna ekonomika,MAG
244,Fakulteta za kmetijstvo in biosistemske vede,Pivola 10,Hoèe,2311,Agrarna ekonomika,DR
245,Fakulteta za kmetijstvo in biosistemske vede,Pivola 10,Hoèe,2311,Kmetijstvo,MAG
246,Fakulteta za kmetijstvo in biosistemske vede,Pivola 10,Hoèe,2311,Kmetijstvo,DR
247,Fakulteta za kmetijstvo in biosistemske vede,Pivola 10,Hoèe,2311,Varnost hrane v prehrambni verigi,MAG
248,Fakulteta za logistiko,Mariborska cesta 7,Celje,3000,Gospodarska in tehniška logistika,VSŠ
249,Fakulteta za logistiko,Mariborska cesta 7,Celje,3000,Logistika sistemov,UNI
250,Fakulteta za logistiko,Mariborska cesta 7,Celje,3000,Logistika sistemov,MAG
251,Fakulteta za logistiko,Mariborska cesta 7,Celje,3000,Logistika sistemov,DR
252,Fakulteta za management Koper,Cankarjeva ulica 5,Koper,6104,Management,VSŠ
253,Fakulteta za management Koper,Cankarjeva ulica 5,Koper,6104,Management,UNI
254,Fakulteta za management Koper,Cankarjeva ulica 5,Koper,6104,Management (v anglešèini),UNI
255,Fakulteta za management Koper,Cankarjeva ulica 5,Koper,6104,Ekonomija in finance,MAG
256,Fakulteta za management Koper,Cankarjeva ulica 5,Koper,6104,Ekonomija in finance (v anglešèini),MAG
257,Fakulteta za management Koper,Cankarjeva ulica 5,Koper,6104,Inoviranje in podjetništvo,MAG
258,Fakulteta za management Koper,Cankarjeva ulica 5,Koper,6104,Management,MAG
259,Fakulteta za management Koper,Cankarjeva ulica 5,Koper,6104,Management,DR
260,Fakulteta za management Koper,Cankarjeva ulica 5,Koper,6104,Management trajnostnega razvoja,MAG
261,Fakulteta za management Koper,Cankarjeva ulica 5,Koper,6104,Management (v anglešèini),MAG
262,Fakulteta za management Koper,Cankarjeva ulica 5,Koper,6104,Politologija,MAG
263,Fakulteta za management Koper,Cankarjeva ulica 5,Koper,6104,Politologija (v anglešèini),MAG
264,Fakulteta za management Koper,Cankarjeva ulica 5,Koper,6104,Pravo za management,MAG
265,"Fakulteta za matematiko, naravoslovje in informacijske tehnologije Koper",Glagoljaška ulica 8,Koper,6000,Bioinformatika,UNI
266,"Fakulteta za matematiko, naravoslovje in informacijske tehnologije Koper",Glagoljaška ulica 8,Koper,6000,Bioinformatika (v anglešèini),UNI
267,"Fakulteta za matematiko, naravoslovje in informacijske tehnologije Koper",Glagoljaška ulica 8,Koper,6000,Biopsihologija,UNI
268,"Fakulteta za matematiko, naravoslovje in informacijske tehnologije Koper",Glagoljaška ulica 8,Koper,6000,Matematika,UNI
269,"Fakulteta za matematiko, naravoslovje in informacijske tehnologije Koper",Glagoljaška ulica 8,Koper,6000,Matematika (v anglešèini),UNI
270,"Fakulteta za matematiko, naravoslovje in informacijske tehnologije Koper",Glagoljaška ulica 8,Koper,6000,Matematika v ekonomiji in financah,UNI
271,"Fakulteta za matematiko, naravoslovje in informacijske tehnologije Koper",Glagoljaška ulica 8,Koper,6000,Raèunalništvo in informatika,UNI
272,"Fakulteta za matematiko, naravoslovje in informacijske tehnologije Koper",Glagoljaška ulica 8,Koper,6000,Raèunalništvo in informatika (v anglešèini),UNI
273,"Fakulteta za matematiko, naravoslovje in informacijske tehnologije Koper",Glagoljaška ulica 8,Koper,6000,Sredozemsko kmetijstvo,UNI
274,"Fakulteta za matematiko, naravoslovje in informacijske tehnologije Koper",Glagoljaška ulica 8,Koper,6000,Varstvena biologija,UNI
275,"Fakulteta za matematiko, naravoslovje in informacijske tehnologije Koper",Glagoljaška ulica 8,Koper,6000,Biopsihologija,MAG
276,"Fakulteta za matematiko, naravoslovje in informacijske tehnologije Koper",Glagoljaška ulica 8,Koper,6000,Matematiène znanosti,MAG
277,"Fakulteta za matematiko, naravoslovje in informacijske tehnologije Koper",Glagoljaška ulica 8,Koper,6000,Matematiène znanosti,DR
278,"Fakulteta za matematiko, naravoslovje in informacijske tehnologije Koper",Glagoljaška ulica 8,Koper,6000,Matematiène znanosti (v anglešèini),MAG
279,"Fakulteta za matematiko, naravoslovje in informacijske tehnologije Koper",Glagoljaška ulica 8,Koper,6000,Matematiène znanosti (v anglešèini),DR
280,"Fakulteta za matematiko, naravoslovje in informacijske tehnologije Koper",Glagoljaška ulica 8,Koper,6000,Matematika s finanènim inženiringom,MAG
281,"Fakulteta za matematiko, naravoslovje in informacijske tehnologije Koper",Glagoljaška ulica 8,Koper,6000,Raèunalništvo in informatika,MAG
282,"Fakulteta za matematiko, naravoslovje in informacijske tehnologije Koper",Glagoljaška ulica 8,Koper,6000,Raèunalništvo in informatika,DR
283,"Fakulteta za matematiko, naravoslovje in informacijske tehnologije Koper",Glagoljaška ulica 8,Koper,6000,Trajnostno grajeno okolje (Izola),MAG
284,"Fakulteta za matematiko, naravoslovje in informacijske tehnologije Koper",Glagoljaška ulica 8,Koper,6000,Uporabna psihologija,MAG
285,"Fakulteta za matematiko, naravoslovje in informacijske tehnologije Koper",Glagoljaška ulica 8,Koper,6000,Varstvo narave,MAG
286,Fakulteta za organizacijske vede,Kidrièeva cesta 55a,Kranj,4000,Inženiring poslovnih sistemov,VSŠ
287,Fakulteta za organizacijske vede,Kidrièeva cesta 55a,Kranj,4000,Inženiring poslovnih sistemov,UNI
288,Fakulteta za organizacijske vede,Kidrièeva cesta 55a,Kranj,4000,Management v športu,VSŠ
289,Fakulteta za organizacijske vede,Kidrièeva cesta 55a,Kranj,4000,Organizacija in management informacijskih sistemov,VSŠ
290,Fakulteta za organizacijske vede,Kidrièeva cesta 55a,Kranj,4000,Organizacija in management informacijskih sistemov,UNI
291,Fakulteta za organizacijske vede,Kidrièeva cesta 55a,Kranj,4000,Organizacija in management kadrovskih in izobraževalnih sistemov,VSŠ
292,Fakulteta za organizacijske vede,Kidrièeva cesta 55a,Kranj,4000,Organizacija in management kadrovskih in izobraževalnih sistemov,UNI
293,Fakulteta za organizacijske vede,Kidrièeva cesta 55a,Kranj,4000,Inženiring poslovnih sistemov,MAG
294,Fakulteta za organizacijske vede,Kidrièeva cesta 55a,Kranj,4000,Management v zdravstvu in socialnem varstvu,MAG
295,Fakulteta za organizacijske vede,Kidrièeva cesta 55a,Kranj,4000,Organizacija in management informacijskih sistemov,MAG
296,Fakulteta za organizacijske vede,Kidrièeva cesta 55a,Kranj,4000,Organizacija in management informacijskih sistemov,DR
297,Fakulteta za organizacijske vede,Kidrièeva cesta 55a,Kranj,4000,Organizacija in management kadrovskih in izobraževalnih sistemov,MAG
298,Fakulteta za organizacijske vede,Kidrièeva cesta 55a,Kranj,4000,Organizacija in management kadrovskih in izobraževalnih sistemov,DR
299,Fakulteta za organizacijske vede,Kidrièeva cesta 55a,Kranj,4000,Organizacija in management poslovnih in delovnih sistemov,MAG
300,Fakulteta za organizacijske vede,Kidrièeva cesta 55a,Kranj,4000,Organizacija in management poslovnih in delovnih sistemov,DR
301,Fakulteta za turistiène študije Portorož - Turistica,Obala 11a,Portorož,6320,Kulturni turizem,UNI
302,Fakulteta za turistiène študije Portorož - Turistica,Obala 11a,Portorož,6320,Management turistiènih destinacij (Ljubljana),VSŠ
303,Fakulteta za turistiène študije Portorož - Turistica,Obala 11a,Portorož,6320,Management turistiènih podjetij,VSŠ
304,Fakulteta za turistiène študije Portorož - Turistica,Obala 11a,Portorož,6320,Management turistiènih podjetij (v anglešèini),VSŠ
305,Fakulteta za turistiène študije Portorož - Turistica,Obala 11a,Portorož,6320,Turizem,UNI
306,Fakulteta za turistiène študije Portorož - Turistica,Obala 11a,Portorož,6320,Dedišèinski turizem,MAG
307,Fakulteta za turistiène študije Portorož - Turistica,Obala 11a,Portorož,6320,Inovativni turizem,DR
308,Fakulteta za turistiène študije Portorož - Turistica,Obala 11a,Portorož,6320,Management trajnostnega razvoja,MAG
309,Fakulteta za turistiène študije Portorož - Turistica,Obala 11a,Portorož,6320,Turizem,MAG
310,Fakulteta za turistiène študije Portorož - Turistica,Obala 11a,Portorož,6320,Turizem (Ljubljana),MAG
311,Fakulteta za vede o zdravju Izola,Polje 42,Izola,6310,Aplikativna kineziologija,UNI
312,Fakulteta za vede o zdravju Izola,Polje 42,Izola,6310,Prehransko svetovanje - dietetika,VSŠ
313,Fakulteta za vede o zdravju Izola,Polje 42,Izola,6310,Zdravstvena nega (Izola),VSŠ
314,Fakulteta za vede o zdravju Izola,Polje 42,Izola,6310,Zdravstvena nega (Nova Gorica),VSŠ
315,Fakulteta za vede o zdravju Izola,Polje 42,Izola,6310,Aplikativna kineziologija,MAG
316,Fakulteta za vede o zdravju Izola,Polje 42,Izola,6310,Aplikativna kineziologija,DR
317,Fakulteta za vede o zdravju Izola,Polje 42,Izola,6310,Dietetika,MAG
318,Fakulteta za vede o zdravju Izola,Polje 42,Izola,6310,Management trajnostnega razvoja,MAG
319,Fakulteta za vede o zdravju Izola,Polje 42,Izola,6310,Zdravstvena nega,MAG
320,Pedagoška fakulteta Koper,Cankarjeva ulica 5,Koper,6000,Pedagogika,UNI
321,Pedagoška fakulteta Koper,Cankarjeva ulica 5,Koper,6000,Predšolska vzgoja (Koper),VSŠ
322,Pedagoška fakulteta Koper,Cankarjeva ulica 5,Koper,6000,Predšolska vzgoja (Novo mesto),VSŠ
323,Pedagoška fakulteta Koper,Cankarjeva ulica 5,Koper,6000,Predšolska vzgoja (Škofja Loka),VSŠ
324,Pedagoška fakulteta Koper,Cankarjeva ulica 5,Koper,6000,Predšolska vzgoja (za zavode z italijanskim uènim jezikom),UNI
325,Pedagoška fakulteta Koper,Cankarjeva ulica 5,Koper,6000,Razredni pouk,UNI
326,Pedagoška fakulteta Koper,Cankarjeva ulica 5,Koper,6000,Razredni pouk (za zavode z italijanskim uènim jezikom),UNI
327,Pedagoška fakulteta Koper,Cankarjeva ulica 5,Koper,6000,Edukacijske vede,DR
328,Pedagoška fakulteta Koper,Cankarjeva ulica 5,Koper,6000,Inkluzivna pedagogika,MAG
329,Pedagoška fakulteta Koper,Cankarjeva ulica 5,Koper,6000,Inkluzivna pedagogika (Škofja Loka),MAG
330,Pedagoška fakulteta Koper,Cankarjeva ulica 5,Koper,6000,Izobraževanje odraslih in razvoj kariere,MAG
331,Pedagoška fakulteta Koper,Cankarjeva ulica 5,Koper,6000,Razredni pouk,MAG
332,Pedagoška fakulteta Koper,Cankarjeva ulica 5,Koper,6000,Socialna pedagogika,MAG
333,Pedagoška fakulteta Koper,Cankarjeva ulica 5,Koper,6000,Zgodnje uèenje,MAG
334,Pedagoška fakulteta Koper,Cankarjeva ulica 5,Koper,6000,Zgodnje uèenje,DR
335,Visoka šola za vinogradništvo in vinarstvo,Vipavska cesta 13,Ajdovšèina,5270,Vinogradništvo in vinarstvo,VSŠ
